Αφρική	Afrika
Βουργουνδικές Κάτω Χώρες	Bourgondische tijd
Μπράνκο Τσρβένκοβσκι	Branko Crvenkovski
National Geographic Channel	National Geographic Channel
Κονράδος Α' της Γερμανίας	Koenraad I van Franken
Καρολίγγεια Αναγέννηση	Karolingische renaissance
Ιβίσκος	Hibiscus
Ερνστ Χάπελ	Ernst Happel
Ηλύσια Πεδία	Elysese velden
Ευγενία του Μοντίχο	Eugénie de Montijo
Ζόραν Τζίντζιτς	Zoran Đinđić
Κονράδος Γ΄ της Γερμανίας	Koenraad III (rooms-koning)
Ζωτικός χώρος	Lebensraum
Die Zeit	Die Zeit
Γαλλική Αντίσταση	Résistance
Υποστράτηγος	Generaal-majoor
Κάρμινα Μπουράνα	Carmina Burana (middeleeuws)
Λημέρι του λύκου	Wolfsschanze
Μίσθωση	Huren
Φερνάν Λεζέ	Fernand Léger
Μαρσέλ Μαρσώ	Marcel Marceau
Αλμπέρτο Τζιακομέτι	Alberto Giacometti
Αντέν Αμπντουλέ Οσμάν	Aden Abdullah Osman Daar
Τσιτάου	Zittau
Bathory (συγκρότημα)	Bathory (band)
Αραουκάρια	Araucaria
Οίκος του Αννόβερου	Huis Hannover
816 Ιουλιανή	816 Juliana
Μπίτολα	Bitola
Χάρρυ Κρότο	Harold Kroto
Γιαν Τιρσέν	Yann Tiersen
Ρόμπερτ Σόλοου	Robert Solow
Στεπάν Μπαντέρα	Stepan Bandera
Ζωρζ Περέκ	Georges Perec
Σιμόν Βέιλ (φιλόσοφος)	Simone Weil
Λέζεκ Κολακόφσκι	Leszek Kołakowski
Φράνσις Πικαμπιά	Francis Picabia
Ρομέν Γκαρί	Romain Gary
ΦΣΒ Φρανκφούρτης	FSV Frankfurt
Γκόλντεν Στέιτ Ουόριορς	Golden State Warriors
Ροβίνια η ψευδοακακία	Robinia (soort)
Όρχις η άρρην	Mannetjesorchis
1. ΦΚ Σααρμπρύκεν	1. FC Saarbrücken
ΚΦΚ Ίρντιγκεν 05	KFC Uerdingen 05
Μαρία Λουίζα, δούκισσα της Πάρμας	Marie Louise van Oostenrijk
Bloodhound Gang	The Bloodhound Gang
Υπεραξία	Goodwill
Τζόζεφ Ντάλτον Χούκερ	Joseph Dalton Hooker
95 Θέσεις	95 stellingen
Αρραβώνας	Verloving
Σαρλ Λουσιέν Βοναπάρτης	Karel Lucien Bonaparte
Λεσνόι	Lesnoj (oblast Sverdlovsk)
Black Ice	Black Ice
Κόμμα του Κέντρου (Γερμανία)	Deutsche Zentrumspartei
Ομπερλίγκα	DDR-Oberliga
Αποτεφρωτήρας	Crematorium
Νέλσον Αέδο Βαλντές	Nelson Valdez
Βασίλι Ιβάνοβιτς Τσουϊκόφ	Vasili Tsjoejkov
Φεστιβάλ του Μπαϊρόιτ	Bayreuther Festspiele
Τάγμα των Αδελφών του ξίφους	Orde van de Zwaardbroeders
Ράιχσβερ	Reichswehr
Commerzbank	Commerzbank
Βασίλι Ζουκόφσκι	Vasili Zjoekovski
Μάχη του Ατλαντικού	Slag om de Atlantische Oceaan
Ζούμπιν Μέτα	Zubin Mehta
Κοινοβούλιο της Φρανκφούρτης	Frankfurter Parlement
Γερμανικά Ταχυδρομεία	Deutsche Post DHL
Διάγγελμα δεκατεσσάρων σημείων	Veertien Punten
89 Ιουλία	89 Julia
Μέιριντ Κόριγκαν	Mairead Corrigan
Ντανιέλ Φρανσουά Εσπρί Ωμπέρ	Daniel Auber
Βόιοι	Boii
Επιχείρηση Gladio	Operatie Gladio
Εξέγερση της 17ης Ιουνίου 1953	Volksopstand in de DDR (1953)
Λομονόσοφ (Οράνιενμπαουμ)	Lomonosov (stad)
Μπέτι Ουίλιαμς	Betty Williams
Λοχίας	Sergeant
Καπραΐα	Capraia Isola
90 Αντιόπη	Antiope (planetoïde)
Πυράκανθος	Vuurdoorn
Ιωάννης της Δανίας	Johan van Denemarken
Χριστιανός Ε΄ της Δανίας	Christiaan V van Denemarken
Μαργράβος	Markgraaf
Κρόκος	Krokus
Τεχνικό Πανεπιστήμιο του Μονάχου	Technische Universiteit van München
Νικολά Καραμπατίτς	Nikola Karabatić
Αρετή	Deugd
Διοκαισάρεια Κιλικίας	Olba (Anatolië)
Βαλεριάνα	Echte valeriaan
Χόλσταϊν Κίελ	Holstein Kiel
Υπεξαίρεση	Verduistering (misdrijf)
Ζαπορίζια	Zaporizja
Βέρα Μέντσικ	Vera Menchik
Γερμανικές ομοσπονδιακές εκλογές 2009	Duitse Bondsdagverkiezingen 2009
Τρίτη μάχη του Χαρκόβου	Derde slag om Charkov
Πικραγγουριά	Springkomkommer
Μαρίνους βαν ντερ Λούμπε	Marinus van der Lubbe
Ασιατικό Κύπελλο Εθνών Ποδοσφαίρου	Aziatisch kampioenschap voetbal
Καρλ Στάμιτς	Karel Filip Stamic
Volkssturm	Volkssturm
Σέτι Α΄	Seti I
Πάβελ Μπελυάγιεφ	Pavel Beljajev
Άικεν	Aiken
Σέσκουλο	Snijbiet
Σόρβον	Lijsterbes
Αδανσονία	Baobab
Όι, σβιέτλα μάισκα ζόρο	Oj, svijetla majska zoro
Αντράκλα	Postelein
Η Λευκή Κορδέλα	Das weiße Band
Στέφανος Ε΄ της Ουγγαρίας	Stefanus V van Hongarije
Μερνεφθά	Merenptah
Επιχείρηση Ράινχαρντ	Aktion Reinhard
Ο γαλάζιος άγγελος	Der blaue Engel
Βίβιεν Γουέστγουντ	Vivienne Westwood
Ολυμπία (ταινία 1938)	Olympia (film)
Κατάλπη	Trompetboom
Επιτροπή για μια Εργατική Διεθνή	Comité voor een Arbeidersinternationale
Λίμνη Δοϊράνη	Doiranmeer
Κίτσεβο	Kičevo
Ηλιοτρόπιο	Heliotroop (geslacht)
Σπάνταου	Spandau (district)
Εταιρεία Μαξ Πλανκ	Max-Planck-Gesellschaft
Ακταία	Actaea
Καβάνταρτσι	Kavadarci
Αγαθόφυτα	Ganzenvoet
Προμνησία	Déjà vu
Ραμάλα	Ramallah
ΣπΦγγ Ούντερχασινγκ	SpVgg Unterhaching
Ευρυδίκη (τραγουδίστρια)	Evridiki
Νήσος Βικτώρια (Καναδάς)	Victoria-eiland
Πουρνάρι	Hulsteik
Αμπέλοψις	Ampelopsis
Μπιπάσα Μπάσου	Bipasha Basu
Μαρία Καρολίνα της Αυστρίας	Maria Carolina van Oostenrijk (1752-1814)
Κάρολος Αλέξανδρος της Λωρραίνης	Karel van Lotharingen (1712-1780)
951 Γκάσπρα	Gaspra (planetoïde)
Άννα της Δανίας	Anna van Denemarken (1574-1619)
AEG	AEG
Diesel (εταιρεία)	Diesel (kledingmerk)
Ανεμώνη	Anemoon
Βάλσαμο	Sint-janskruid
Γιάνους Πάλικοτ	Janusz Palikot
Κλάρα Χίτλερ	Klara Pölzl
Stern	Stern (tijdschrift)
Θάνατοι τον Φεβρουάριο του 2011	Lijst van personen overleden in februari 2011
SMERSH	SMERSJ
Θάνατοι τον Δεκέμβριο του 2011	Lijst van personen overleden in december 2011
Θάνατοι τον Φεβρουάριο του 2012	Lijst van personen overleden in februari 2012
Θάνατοι τον Μάρτιο του 2012	Lijst van personen overleden in maart 2012
Θάνατοι τον Σεπτέμβριο του 2011	Lijst van personen overleden in september 2011
Θάνατοι τον Μάρτιο του 2011	Lijst van personen overleden in maart 2011
Θάνατοι τον Νοέμβριο του 2011	Lijst van personen overleden in november 2011
Μεγάλο Δουκάτο του Μέκλενμπουργκ-Σβερίν	Groothertogdom Mecklenburg-Schwerin
Ζάγκαν	Żagań
Lynyrd Skynyrd	Lynyrd Skynyrd
Ανατόλι Φομένκο	Anatoli Fomenko
Μπαχάρι	Piment
Αγκούνγκ	Agung (berg)
Θεοδοσία (πόλη)	Feodosija
Ήρα (ζιζάνιο)	Raaigras
9969 Μπράιγ	Braille (planetoïde)
Neues Deutschland	Neues Deutschland
Καλωδιωτή γέφυρα	Tuibrug
Σημαία του Γκέρνσεϊ	Vlag van Guernsey
Επαρχία Αυλώνα	Vlorë (district)
Μπακτσίσαραϊ	Bachtsjysaraj
Avantasia	Avantasia
Κράνα	Gele kornoelje
Ορθογώνιο τρίγωνο	Rechthoekige driehoek
Πατ Νίξον	Pat Nixon
Διεθνές Αεροδρόμιο Εχτερντίνγκεν	Flughafen Stuttgart
Volkswagen Phaeton	Volkswagen Phaeton
Χουάν Λουίς Γκέρρα	Juan Luis Guerra
Ο άγνωστος	Unknown (2011)
Ολύμπια	Olympia
Όλυρα	Spelt
Ψευδοτσούγκα	Pseudotsuga
Λουί Νικολά Νταβού	Louis Nicolas Davout
Όπλο Μηχανικού (Ελληνικός Στρατός Ξηράς)	Genie (strijdmachtonderdeel)
Πάπυρος (φυτό)	Papyrusriet
Ιερεμίας (προφήτης)	Jeremia (profeet)
Επισκοπή της Λιέγης	Prinsbisdom Luik
Λεόν Ντεγκρέλ	Léon Degrelle
Süddeutsche Zeitung	Süddeutsche Zeitung
Κάρλος Καστανιέδα	Carlos Castaneda
Helloween	Helloween
Θάνατοι τον Μάιο του 2012	Lijst van personen overleden in mei 2012
Θάνατοι τον Μάιο του 2011	Lijst van personen overleden in mei 2011
Θάνατοι τον Σεπτέμβριο του 2012	Lijst van personen overleden in september 2012
Ρόλαντ Γκαμάρρα	Ronald Gamarra Herrera
Πριγιάνκα Τσόπρα	Priyanka Chopra
Αρώνια	Appelbes (geslacht)
Γαριφαλιά	Tuinanjer
Φραγκόσυκο	Opuntia
Ρικάρντο Βαζ Τε	Ricardo Vaz Tê
Επιχείρηση Βαλκυρία (ταινία)	Valkyrie (film)
Σφραγισμένα Χείλη	The Reader
Tupolev Tu-134	Tupolev Tu-134
Λευκή Πόλη	Witte stad van Tel Aviv
Μηχάιλοβσκ	Michajlovsk (oblast Sverdlovsk)
Ιωακείμ της Δανίας	Joachim van Denemarken
Τζεμάλ Γκιουρσέλ	Cemal Gürsel
Θέμις	Themis (mythologie)
Πλάτος κύματος	Amplitude
Καλαθοσφαίριση στους Θερινούς Ολυμπιακούς Αγώνες 1936	Basketbal op de Olympische Zomerspelen 1936
Σιζάλ	Sisal (vezel)
Αλκίνια	Alkyn
Σάντα Κρουζ (Καλιφόρνια)	Santa Cruz (Californië)
Γενετική μηχανική	Genetische technologie
Συνεχές ρεύμα	Gelijkstroom
Αρεκίπα	Arequipa (stad)
Σάντα Μπάρμπαρα (Καλιφόρνια)	Santa Barbara (Californië)
Τζον Κόνσταμπλ	John Constable
Ετερότροφος	Heterotroof
Στηβ ΜακΚουήν	Steve McQueen (acteur)
They Don't Care About Us	They Don't Care About Us
Κωπηλασία	Roeien (sport)
Αρκάδιος	Arcadius
Γεωπολιτική	Geopolitiek
.cs	.cs
Χειμερία νάρκη	Winterslaap
Καταθέσεις	Spaarrekening
Μπαμπουίνος	Bavianen
Τζέση Τζέην	Jesse Jane
Καποέιρα	Capoeira
Σοσιαλιστική Διεθνής	Socialistische Internationale (1951)
Φάρο	Faro (stad)
Τροφική αλυσίδα	Voedselketen
Ίλλερ	Iller
Αϊμάν	Ajman (emiraat)
Ράβενσμπρικ	Ravensbrück
Destruction (συγκρότημα)	Destruction
SVD (Dragunov)	Snajperskaja Vintovka Dragoenova
Ευκάλυπτος ο σφαιρικός	Blauwe gomboom
Θεωρία συνωμοσίας	Complottheorie
Πέπερι	Piper (geslacht)
Σημαία της Σομαλίας	Vlag van Somalië
Κρανιά	Kornoelje
Γιοχάνες Βίλχελμ Γένσεν	Johannes Vilhelm Jensen
Lernu!	Lernu!
Αείλανθος ο υψηλότατος	Hemelboom
Ούγος Καπέτος	Hugo Capet
Τζετ Λι	Jet Li
Αγία Έδρα	Heilige Stoel
Εξ αποστάσεως εκπαίδευση	Afstandsonderwijs
Χάρολντ Β΄ της Αγγλίας	Harold II van Engeland
Τίβολι	Tivoli (Italië)
Τζων Έβερετ Μιλαί	John Everett Millais
Αυλώνας	Vlorë (stad)
Ρίτσαρντ Μάιερ	Richard Meier
Αναπούρνα	Annapurna Himal
Βυρτεμβέργη	Württemberg
Bella ciao	Bella ciao
Απόλυτο μέγεθος	Absolute helderheid
Έκτορας	Hektor (mythologie)
Παραπόταμος	Zijrivier
Κιτρικό οξύ	Citroenzuur
Μπολσένα	Bolsena
Κριστιάν Ντιόρ	Christian Dior
Γλαύκωμα	Glaucoom
Πατρίσια Κάας	Patricia Kaas
Γκιλγκαμές	Gilgamesj
Σαν Αντόνιο Σπερς	San Antonio Spurs
Βαρυόνιο	Baryon
Σημαία του Νεπάλ	Vlag van Nepal
Σημαία του Μονακό	Vlag van Monaco
Ουίλλιαμ Τέρνερ	William Turner
Μάουνα Λόα	Mauna Loa
Ολλανδική Εταιρεία Ανατολικών Ινδιών	Vereenigde Oostindische Compagnie
Μισέλ Φάιφερ	Michelle Pfeiffer
Μ.Χ.	Anno Domini
Ονώριος	Honorius (keizer)
Οικονομία	Economie (systeem)
Μαστιχόδενδρο	Mastiekboom
Νικ Γκρίφιν	Nick Griffin
Λέων (αστρολογία)	Leeuw (astrologie)
Θερινοί Ολυμπιακοί Αγώνες	Olympische Zomerspelen
Μπατμάν	Batman (stad)
Paramount Pictures	Paramount Pictures
Καμπ Νόου	Camp Nou
Δουκάτο της Βραβάντης	Hertogdom Brabant
Ντάμα (γένος)	Damhert
Αγία Ελισάβετ της Ουγγαρίας	Elisabeth van Thüringen
Σημαία του Μαρόκου	Vlag van Marokko
Τζον Ράμπο	Rambo (film)
Σημαία του Καμερούν	Vlag van Kameroen
Ολυμπιακό Στάδιο Ρώμης	Olympisch Stadion (Rome)
Ατλάντα Χοκς	Atlanta Hawks
Ίππαρχος ο Ρόδιος	Hipparchus (astronoom)
Ζοζέφ Προυστ	Louis Joseph Proust
Ντιναμό Βερολίνου ΦΚ	Berliner FC Dynamo
Μουράτ Γ΄	Murat III
Κίκερς Όφενμπαχ	Offenbacher FC Kickers 1901
Ρωσοϊαπωνικός Πόλεμος	Russisch-Japanse Oorlog
Καλδέρα	Caldera (geografie)
Τυπογραφία	Typografie
Σημαία της Ζιμπάμπουε	Vlag van Zimbabwe
Αρτουά	Artesië (streek)
Φαγκότο	Fagot
Τετράεδρο	Viervlak
Pink (τραγουδίστρια)	P!nk
Κατάλογος χωρών μελών του ΟΗΕ	Lidstaten van de Verenigde Naties
Σκιά	Schaduw
Πάπας Πίος Γ΄	Paus Pius III
Οικονομετρία	Econometrie
Ο Λόγος του Βασιλιά	The King's Speech
Λυκόφως (ταινία)	Twilight (2008)
Άλωση της Κωνσταντινούπολης (1453)	Beleg en val van Constantinopel (1453)
Βραβείο Μπούκερ	Booker Prize
Κιγχόνη	Kina (plant)
Travis	Travis (band)
Καρκίνος του τραχήλου της μήτρας	Baarmoederhalskanker
Μιμόζα	Mimosa
Μουσείο ντελ Πράδο	Museo Nacional del Prado
Δυόσμος	Aarmunt
Μεσίτης Αστικών Συμβάσεων	Makelaar
Darkthrone	Darkthrone
Σημαία του Τατζικιστάν	Vlag van Tadzjikistan
Προδοσία	Landverraad
Στρατόπεδο εξόντωσης Μαϊντάνεκ	Majdanek
Στυλό	Balpen
Στρατόπεδο συγκέντρωσης Μαουτχάουζεν-Γκούζεν	Mauthausen (concentratiekamp)
Στρατόπεδο εξόντωσης Μπέλζεκ	Bełżec (vernietigingskamp)
Μαρκ Ρόθκο	Mark Rothko
Τιμή	Prijs (economie)
Στρατόπεδο εξόντωσης Κέλμνο	Chełmno (vernietigingskamp)
Εξέγερση του Γκέτο της Βαρσοβίας	Opstand in het getto van Warschau
Άννα Ιβάνοβνα	Anna van Rusland
Der Stürmer	Der Stürmer
Οσίπ Ζάντκιν	Ossip Zadkine
Ρούσε	Roese (stad)
Πάπας Ονώριος Γ΄	Paus Honorius III
Αέρια εντέρου	Winderigheid
Όλε Ρέμερ	Ole Rømer
Λουδοβίκος ο νεότερος	Lodewijk III de Jonge
Σερμπούρ-Οκτβίλ	Cherbourg-Octeville
Συνθήκη του Μέρσεν	Verdrag van Meerssen
Νέα Αντικειμενικότητα	Nieuwe zakelijkheid
Πέτρος Β΄ της Ρωσίας	Peter II van Rusland
Μίσος	Haat
Μητροπολιτικό Μουσείο Τέχνης (Νέα Υόρκη)	Metropolitan Museum of Art
Σημαία της Μποτσουάνας	Vlag van Botswana
Ευρωπαϊκή Οδός 30	Europese weg 30
Σημαία της Νότιας Αφρικής	Vlag van Zuid-Afrika
Φρέντερικ Λέιτον	Frederic Leighton
Σημαία του Περού	Vlag van Peru
Βάντα Λάντοβσκα	Wanda Landowska
Νοσφεράτου: Ο Δράκουλας της Νύχτας	Nosferatu: Phantom der Nacht
Σημαία της Νέας Ζηλανδίας	Vlag van Nieuw-Zeeland
Νταβίντ Γκρόσμαν	David Grossman
Ilyushin Il-18	Iljoesjin Il-18
Στρατόπεδο συγκέντρωσης Γκρος-Ρόζεν	Groß-Rosen
Ντέηβιντ Ρικάρντο	David Ricardo
Κούρφιρστενταμ	Kurfürstendamm
Τζον Ντέιβινσον Ροκφέλερ	John D. Rockefeller
Ακοή	Gehoor
Πανεπιστήμιο του Εδιμβούργου	Universiteit van Edinburgh
Χαλιφάτο των Φατιμιδών	Kalifaat van de Fatimiden
Ερρίκος Γ΄ της Αγγλίας	Hendrik III van Engeland
Νορόντομ Σιχανούκ	Norodom Sihanouk
Νταμάμ	Dammam
Θυρεός της Αυστρίας	Wapen van Oostenrijk
M48 Patton	M48 Patton
Συναγωγή θερμότητας	Convectie
Προσπέρ Μεριμέ	Prosper Mérimée
Ερρίκος ΣΤ΄ της Αγγλίας	Hendrik VI van Engeland
Εδουάρδος Δ΄ της Αγγλίας	Eduard IV van Engeland
Κάρολος ΣΤ΄ της Γαλλίας	Karel VI van Frankrijk
Θεοδόσιος Β´	Theodosius II
Θεόφραστος	Theophrastus
M47 Patton	M47 Patton
Πάπας Κάλλιστος Γ΄	Paus Calixtus III
Πάπας Μαρκελλίνος	Paus Marcellinus
Δυτικός Κόσμος	Westerse wereld
Ναυμαχία του Ακτίου	Slag bij Actium
Εβάντζελιν Λίλι	Evangeline Lilly
Ahnenerbe	Ahnenerbe
Κρυσταλλογραφία	Kristallografie
Αντίληψη	Waarneming (perceptie)
Σέντραλ Παρκ (Νέα Υόρκη)	Central Park
Τέο φαν Ντέσμπουργκ	Theo van Doesburg
Σημαία της Κολομβίας	Vlag van Colombia
Χουάν Ντιέγο Φλόρες	Juan Diego Flórez
Ντέιβιντ Γκάρετ	David Garrett
Τζουντ Λο	Jude Law
Γκέριτ Τόμας Ρίτβελντ	Gerrit Rietveld
Χανάτο της Κριμαίας	Kanaat van de Krim
Άγιος Βονιφάτιος	Bonifatius (heilige)
Σαμψούντα	Samsun (stad)
SMTP	Simple Mail Transfer Protocol
Αλ-Φαράμπι	Al-Farabi
Telnet	Telnet
Γερμανικός εξπρεσιονισμός	Expressionistische film
Οδυσσέας Ελύτης	Odýsseas Elýtis
Χίος	Chios (eiland)
Πορφυροτσικνιάς	Purperreiger
Ινβερνές	Inverness (Verenigd Koninkrijk)
Σαρλ-Μωρίς ντε Ταλλεϋράν-Περιγκόρ	Charles-Maurice de Talleyrand
Σαιν-Ντενί (Σεν-Σαιν-Ντενί)	Saint-Denis (Seine-Saint-Denis)
Πάπας Ευσέβιος	Paus Eusebius
Νιλς Γκούσταφ Νταλέν	Nils Gustaf Dalén
Τσαρλς Γκλόβερ Μπάρκλα	Charles Glover Barkla
Μπαρτ Λάνκαστερ	Burt Lancaster
ΒφΛ Όσναμπρικ	VfL Osnabrück
ΣΚ Πάντερμπορν 07	SC Paderborn 07
Τζακ Κέρουακ	Jack Kerouac
Τζιαν Λορέντσο Μπερνίνι	Gian Lorenzo Bernini
Ηράκλειο Κρήτης	Iraklion (stad)
Ποδοσφαιρική Συνομοσπονδία Βόρειας, Κεντρικής Αμερικής και Καραϊβικής	CONCACAF
Βλίτο	Kleine majer
Ωφελιμισμός	Utilitarisme
Αίρεση	Ketterij
Αληγείς άνεμοι	Passaat
Πάπας Ιννοκέντιος Δ΄	Paus Innocentius IV
Σκεντέρμπεης	Skanderbeg
Το μυστικό του Brokeback Mountain	Brokeback Mountain
Άλφρεντ Ράσελ Γουάλας	Alfred Russel Wallace
Ρίο Γκράντε	Rio Grande (Río Bravo)
Ραϋμόν Αρόν	Raymond Aron
Σόλσμπερι	Salisbury (Verenigd Koninkrijk)
Τύφος	Vlektyfus
Αριθμός Μαχ	Machgetal
Amhrán na bhFiann	Amhrán na bhFiann
Σημαία της Γκάνας	Vlag van Ghana
Αγία Βαλπουργία	Walburga
Βαλδίβια	Valdivia (stad)
Χοσέ Ραούλ Καπαμπλάνκα	José Raúl Capablanca
ROM (μνήμη)	Read-only memory
Playmobil	Playmobil
Δίκη των Ιατρών	Artsenproces
Ανγκ Λι	Ang Lee
Μέδουσα (μυθολογία)	Medusa (mythologie)
Παιχνίδι ρόλων	Rollenspel (spel)
Αββαείο	Abdij
Νεστλέ	Nestlé
Βίκυ Λέανδρος	Vicky Leandros
Μισέλ Τουρνιέ	Michel Tournier
Βαλς με τον Μπασίρ	Vals im Bashir
Ντελίριο	Delier
Παγκόσμιο Κύπελλο Ποδοσφαίρου 1962	Wereldkampioenschap voetbal 1962
Εθνική Σουηδίας (ποδόσφαιρο ανδρών)	Zweeds voetbalelftal
Σπίνος	Vinkachtigen
Κοινωνιογλωσσολογία	Sociolinguïstiek
Τότζο Χίντεκι	Hideki Tojo
Γουίλιαμ Γκλάντστοουν	William Ewart Gladstone
Republic F-84 Thunderjet	Republic F-84 Thunderjet
Ίππος (μονάδα ισχύος)	Paardenkracht
Σημαία της Σλοβακίας	Vlag van Slowakije
Σημαία της Χιλής	Vlag van Chili
Σημαία της Σαουδικής Αραβίας	Vlag van Saoedi-Arabië
Πάπας Γάιος	Paus Cajus
Πάπας Αγαπητός Α΄	Paus Agapitus I
Ζίγκμαρ Γκάμπριελ	Sigmar Gabriel
Πάπας Βονιφάτιος Α΄	Paus Bonifatius I
Πάπας Ιωάννης Α΄	Paus Johannes I
Πάπας Κελεστίνος Α΄	Paus Celestinus I
Μπλουά	Blois (stad)
Πάπας Ορμίσδας	Paus Hormisdas
Πάπας Σύμμαχος	Paus Symmachus
Τσιβιτά Καστελλάνα	Civita Castellana
ΣΒ Βάκερ Μπουργκχάουζεν	SV Wacker Burghausen
Χοσέ Χολέμπας	José Holebas
A Portuguesa	A Portuguesa
Ruby	Ruby (programmeertaal)
Ίβαν Πέρισιτς	Ivan Perišić
Εταιρεία Φράουνχοφερ	Fraunhofer-Gesellschaft
Τόγκολαντ	Togoland
Ενθαλπία	Enthalpie
Νταβίδ Σίλβα	David Jiménez Silva
Κατσαβίδι	Schroevendraaier
Γερμανικό πρωτάθλημα ποδοσφαίρου ανδρών 2007-2008	Bundesliga 2007/08
Πωλ Ρεϊνώ	Paul Reynaud
Αστικοποίηση	Verstedelijking
JetBlue Airways	JetBlue Airways
Οι Πειρατές της Καραϊβικής: Το Σεντούκι του Νεκρού	Pirates of the Caribbean: Dead Man's Chest
Βλαντίμιρ Κράμνικ	Vladimir Kramnik
Άγναθοι	Kaakloze vissen
Λήθη (μυθολογία)	Lethe
Ανατολικός πλάτανος	Oosterse plataan
Κωνσταντίνος της Ρωσίας	Constantijn Pavlovitsj van Rusland
Ευώνυμο	Kardinaalsmuts
Κομμουνιστικό Κόμμα Αυστρίας	Communistische Partij van Oostenrijk
Οράς Βερνέ	Horace Vernet
Ορνιθόγαλο	Vogelmelk
Νεποτισμός	Nepotisme
Junkers	Junkers (vliegtuigfabrikant)
Δακτύλιος (άλγεβρα)	Ring (wiskunde)
Χρωστική	Pigment
Μέλες Ζενάουι	Meles Zenawi
Σαφαβίδες	Safawiden
Μεθανάλη	Formaldehyde
Χιτίνη	Chitine
Διάσκεψη της Γιάλτας	Conferentie van Jalta
Μεθανικό οξύ	Mierenzuur
0 A.D.	0 A.D. (computerspel)
Μαγνητική τομογραφία	MRI-scanner
2-υδροξυπροπανικό οξύ	Melkzuur
Στροφορμή	Impulsmoment
Νήσος Κλίπερτον	Clipperton
1,1,1-τριχλωραιθάνιο	1,1,1-trichloorethaan
1,1-διφθοραιθάνιο	1,1-difluorethaan
1,1-διφθοραιθένιο	1,1-difluoretheen
Ασύμμετρη Διμεθυλυδραζίνη	1,1-dimethylhydrazine
Γουλιέλμος του Λουξεμβούργου	Willem van Luxemburg (1981)
Ορλάντο Μάτζικ	Orlando Magic
Χιούστον Ρόκετς	Houston Rockets
Ομολογητική Εκκλησία	Bekennende Kirche
Μις Υφήλιος	Miss Universe
Κιμπούτς	Kibboets
Άστρο του Δαβίδ	Davidster
Μονόκοκκο σιτάρι	Eenkoorn
Ανωτέρα βία	Overmacht
Peer-to-peer	Peer-to-peer
Ιστορία της Ρωσίας	Geschiedenis van Rusland
Ωκεανός (μυθολογία)	Oceanus (god)
Μέλαν σώμα	Zwarte straler
Κόσμημα	Sieraad
Πάπας Σιρίκιος	Paus Siricius
Γκουλάγκ	Goelag
Κεκλιμένο επίπεδο	Hellend vlak (mechanica)
Ρέντινγκ	Reading (Engeland)
1,3-βουταδιένιο	1,3-butadieen
Κύκας	Cycas revoluta
Μετάθεση (μαθηματικά)	Permutatie
Πόλεμος και Ειρήνη (Μυθιστόρημα)	Oorlog en vrede (boek)
Brabançonne	Brabançonne (volkslied)
Ευρωπαϊκή Κοινότητα Άνθρακα και Χάλυβα	Europese Gemeenschap voor Kolen en Staal
Τσέμνιτσερ ΦΚ	Chemnitzer FC
Χαβιέρ Μαστσεράνο	Javier Mascherano
Ανδρομέδα (μυθολογία)	Andromeda (mythologie)
1-βρωμοπροπάνιο	1-broompropaan
1-βουτίνιο	1-butyn
1-χλωροβουτάνιο	1-chloorbutaan
1-χλωροπροπάνιο	1-chloorpropaan
Asymmetric Digital Subscriber Line	Asymmetric Digital Subscriber Line
Γωνιακή ταχύτητα	Hoeksnelheid
1-ιωδοπροπάνιο	1-joodpropaan
Γίρι Πάρουμπεκ	Jiří Paroubek
Πατρίς Λουμούμπα	Patrice Lumumba
Ο Χάρι Πότερ και οι Κλήροι του Θανάτου - Μέρος 1	Harry Potter en de Relieken van de Dood deel 1
1-προπανοθειόλη	1-propaanthiol
Ο Χάρι Πότερ και ο Ημίαιμος Πρίγκιψ (ταινία)	Harry Potter en de Halfbloed Prins (film)
Καθαροί	Katharen
Καρκίνος (αστρολογία)	Kreeft (astrologie)
Περικοκλάδα	Haagwinde
Φρεγάτα	Fregat
Tatu	T.A.T.u.
Εγκληματολογία	Criminologie
Κόμμα (στίξη)	Komma
Πάπας Γρηγόριος Ι΄	Paus Gregorius X
Στσε νε βμέρλα Ουκραΐνι	Sjtsje ne vmerla Oekrajiny
Χαμαίρωπας χαμηλός	Europese dwergpalm
Παμίρ	Pamir
Γεωχημεία	Geochemie
Πρωτομάρτυρας Στέφανος	Stefanus (martelaar)
Σύνδρομο Άσπεργκερ	Syndroom van Asperger
Μανγκοφόρος	Mangifera
Ευρωπαϊκό Πρωτάθλημα Ποδοσφαίρου 1992	Europees kampioenschap voetbal 1992
Τζούλι Άντριους	Julie Andrews
Ρέσνα	Resen (Macedonië)
Αυτοκρατορικός πιγκουίνος	Keizerspinguïn
Γερμανικά κέρματα ευρώ	Duitse euromunten
Έντουαρντ Γκίμπον	Edward Gibbon
Πολυκατοικία	Appartementsrecht
Ήρων	Heron van Alexandrië
Χαλύβδινο Σύμφωνο	Staalpact
Ερρίκος Δ΄ της Αγγλίας	Hendrik IV van Engeland
Σελίμ Β΄	Selim II
Audi A3	Audi A3
Βασίλειο της Μεγάλης Βρετανίας	Koninkrijk Groot-Brittannië
Rafflesia arnoldii	Rafflesia arnoldii
Χέωψ	Chufu
Όουεν Γουίλσον	Owen Wilson
Αλμπέρτο Μοράβια	Alberto Moravia
Διάκονος	Diaken
