ئافرىقا	Afrika
شۋېتسىيە تىلى	Zweeds
دانىش تىلى	Deens
نورۋېگىيە تىلى	Noors
ليۇكسېمبۇرگ تىلى	Luxemburgs
چېخ تىلى	Tsjechisch
سلوۋاك تىلى	Slowaaks
كارل ماركىس	Karl Marx
سلوۋېن تىلى	Sloveens
ماجار تىلى	Hongaars
ۋولتىر	Voltaire
ئېستون تىلى	Estisch
لاتۋىيە تىلى	Lets
لىتۋا تىلى	Litouws
ھىندى دىنى	Hindoeïsme
بېلورۇس تىل	Wit-Russisch
يېلىن	Borst
ئاتوم	Atoom
گرېك تىلى	Grieks
ئرېلاندىيە تىلى	Iers
مالتا تىلى	Maltees
پارس تىلى	Perzisch
ئىسلام	Religie
كورىيەچە	Koreaans
Injilning birinchi tomi	Genesis (boek)
كانتونچە	Standaardkantonees
ئېكسودۇس	Exodus (boek)
ۋيېتنام تىلى	Vietnamees
كخمېر تىلى	Khmer (taal)
لائوس تىلى	Laotiaans
تايلاندچە	Thai (taal)
بىرما تىلى	Birmaans
مالاي تىلى	Maleis
ھىندونېزىيە تىلى	Indonesisch
موڭغۇل تىلى	Mongools
Baku	Bakoe
قازاق تىلى	Kazachs
قىرغىز تىلى	Kirgizisch
تاجىك تىلى	Tadzjieks
ئۆزبېك تىلى	Oezbeeks
تۈركمەن تىلى	Turkmeens
يەھۇدى دىنى	Jodendom
تىمپۇ	Thimphu (stad)
باندار سەرى بەگاۋان	Bandar Seri Begawan
ئىبرانى تىلى	Hebreeuws
ئەزەربەيجان تىلى	Azerbeidzjaans
ماكېدون تىلى	Macedonisch (Slavisch)
سېرب تىلى	Servisch
سېربو-كرودىيىلىكلەر تىلى	Servo-Kroatisch
بوسنىيە تىلى	Bosnisch
گالىسىيەچە	Galicisch
ۋېلش تىلى	Welsh (taal)
دىلى	Dili (stad)
شوتلاندىيە گائېل تىلى	Schots-Gaelisch
Wyéntyan	Vientiane (stad)
مالې	Malé
Bishkek	Bisjkek
Düshenbe	Doesjanbe
جىگەر	Lever
تلا	Milt
بۆرەك	Nier (biologie)
دوۋساق	Urineblaas
نېرۋا سىستىمېسى	Zenuwstelsel
ئوكيانىيە	Oceaan
مۇھەممەد ئەلەيھىسسالام	Mohammed
ئىمام ئەلغازالىي	Al-Ghazali
رىچارد نىكسون	Richard Nixon
قورساق قىسم	Buik
داۋجياۋ دىنى	Taoïsme
سوپىزم (تەسەۋۋۇپ)	Soefisme
ۋېنا تومۇرى	Ader (anatomie)
بېنگال تىلى	Bengaals
تىل	Tong (anatomie)
پانكرېئاتىت	Alvleesklier
بويۇن	Nek (anatomie)
ئېغىز بوشلۇقى	Mond (orgaan)
بوغۇز	Strottenhoofd
فالكلاند تاقىم ئاراللىرى	Falklandeilanden
سازاڭسىمان ئۆسۈكچە	Wormvormig aanhangsel
ئېلىزابېت II	Elizabeth II van het Verenigd Koninkrijk
تاڭ سۇلالىسى	Tang-dynastie
كېننېدى	John F. Kennedy
تاڭ تەيزوڭ	Tang Taizong
بالزاك	Honoré de Balzac
مىڭ سۇلالىسى	Ming-dynastie
جۇ يۈەنجاڭ	Hongwu
رېگان	Ronald Reagan
زۇلۇچە	Zoeloe (taal)
زازا تىلى	Zazaki
پلازما	Plasma (aggregatietoestand)
رىم گىلادىئاتورلار مەيدانى	Colosseum
Saragossa	Zaragoza (stad)
Bélfast	Belfast
ئېلېمېنتلارنىڭ دەۋرىي جەەدۋىلى	Periodiek systeem
قۇرۇق ئۈزۈم	Druif
ھەسەل	Honing
شېكەر	Tafelsuiker
روبوت	Robot
ماشىنىسازلىق	Machine
ئايلىنىش سىستېمىسى	Hart en vaatstelsel
ئىچكى ئاجراتما سىستېمىسى	Endocrien systeem
كىسلاتا	Zuur (scheikunde)
سارايېۋو	Sarajevo
تۇز	Keukenzout
فۇنكسىيە	Functie (wiskunde)
مولېكۇلا	Molecuul
ئېنېرگىيە	Energie
ئىنفرا قىزىل نۇر	Infrarood
ماسسا	Massa (natuurkunde)
مېتال	Metaal
پولات	Staal (legering)
نانو تېخنىكىسى	Nanotechnologie
ئەينەك	Glas
ۋاكۇئۇم	Vacuüm
ئېلېكترون ئىلمى	Elektronica
.توك (توك ئېقىمى)	Elektrische stroom
ئىككى پۇتلۇق لامپا	Diode
ئامېرىكىغا قاراشلىق ۋىرگىن تاقىم ئاراللىرى	Amerikaanse Maagdeneilanden
شېنياڭ شەھىرى	Shenyang
چۇڭچىڭ شەھىرى	Chongqing
تيەنجىن شەھىرى	Tianjin
Lahor	Lahore
ۋۇخەن شەھىرى	Wuhan
نۆۋەتتىكى ھادىسە	Lijst van landen in 2015
ناگويا	Nagoya
تاش قورال دەۋرى	Steentijd
ئېيىق	Beren
فوتوسىنتېز رولى	Fotosynthese
برېتون تىلى	Bretons (taal)
پىرېنېي تاغلىرى	Pyreneeën
Détroyt	Detroit (Michigan)
بۇرج دۇبەي	Burj Khalifa
Sedichin Sépili	Chinese Muur
ئاياسوڧيا	Hagia Sophia
ئابباسىيلار خاندانلىقى	Kalifaat van de Abbasiden
سەلىپنىڭ شەرققە يۈرۈش قىلىشى	Kruistocht
موڭغۇل ئىمپېرىيىسى	Mongoolse Rijk
ئوسمان ئىمپېرىيىسى	Ottomaanse Rijk
ئىسپانىيە-ئامېرىكا ئۇرۇشى	Spaans-Amerikaanse Oorlog
مىللى دارامەت	Bruto binnenlands product
ئېلېكتر	Elektriciteit
يادرو ئېنېرگىيىسى	Kernenergie
ھور ماشىنىسى	Stoommachine
Antwérp	Antwerpen (stad)
باش سۆڭىكى	Schedel
ئانار	Granaatappel
ئاپېلسىن	Sinaasappel
دۇنيا تىلى	Reto-Romaans
جۇاڭزۇ تىلى	Zhuang (taal)
ئۇيغۇر تىلى	Oeigoers
سىنگال تىلى	Singalees
ناخۇئاتل تىلى	Nahuatl
مونتسەررات	Montserrat (eiland)
خارۋارد ئۇنىۋېرسىتېتى	Harvard-universiteit
Pisa	Pisa (stad)
باشقۇرتچە	Basjkiers
قېلىپ:Location map Earth	Sjabloon:Positiekaart Aarde
باغلانغان ئۆردەك	Le Canard enchaîné
ئەرەب تىلى	Arabisch
كيۇسيۇ ئارىلى	Kyushu
خونسيو ئارىلى	Honshu
شىكوكۇ	Shikoku (eiland)
كورسىكا ئارىلى	Corsica
ئاڧرىقانچە	Afrikaans
بۆرە بورسۇق	Veelvraat (zoogdier)
ئاۋمېن	Macau
خۇ جىنتاۋ	Hu Jintao
شى جىنپىڭ	Xi Jinping
زىراپە	Giraffe (dier)
شېنجېن شەھىرى	Shenzhen
گۇئاڭدوڭ ئۆلكىسى	Guangdong
گۇاڭشى جۇاڭزۇ ئاپتونۇم رايونى	Guangxi
سوۋېت ئىتتىپاقى	Sovjet-Unie
شياڭگاڭ ئۇنىۋېرستېتى	Universiteit van Hongkong
پۇت	Voet (anatomie)
دولا	Schouder
قالقانبەز	Schildklier
قېلىپ:Link FA	Sjabloon:Link FA
Wikipedia:Tor Jamiyeti	Wikipedia:De kroeg
Wérmont Shitati	Vermont
San Diyégo	San Diego (Californië)
San Xosé	San Jose (Californië)
Dénwér	Denver
Hyuston	Houston
Féniks	Phoenix (Arizona)
Dallas	Dallas (Texas)
Austin	Austin (Texas)
Mémfis, Ténnéssi	Memphis (Tennessee)
Sharlot	Charlotte (North Carolina)
Kolumbu, Oxéo	Columbus (Ohio)
گۇاڭجۇ شەھىرى	Kanton (stad)
جىياڭ جىشى	Chiang Kai-shek
ۋېن جىياباۋ	Wen Jiabao
Guam Aril	Guam
ئامېرىكىغا قاراشلىق ساموئا	Amerikaans-Samoa
شىمالىي مارىئانا فېدېراتسىيىسى	Noordelijke Marianen
نەنجىڭ شەھىرى	Nanking
بېيجىڭ ئۇنىۋېرسىتېتى	Universiteit van Peking
ئۈرۈمچى شەھىرى	Ürümqi
جياڭسۇ ئۆلكىسى	Jiangsu
جېجياڭ ئۆلكىسى	Zhejiang
گۇئادەلوپە	Guadeloupe
مارتىنىكا	Martinique
شىزاڭ ئاپتونوم رايونى	Tibetaanse Autonome Regio
دالاي لاما	Tenzin Gyatso (dalai lama)
تۆگىقۇش	Struisvogel
Sakraménto	Sacramento (Californië)
چاۋشيەن	Korea
Manchéstér	Manchester
تۇركس ۋە كايكوس تاقىم ئاراللىرى	Turks- en Caicoseilanden
ياۋروپا چىمپيونلۇق لوڭقىسى	UEFA Champions League
پالمىزارلىق ئىپار مۈشۈكى	Loewak
Pyongyang	Pyongyang
New Testament	Nieuwe Testament
ئادالەت ۋە تەرەققىيات پارتىيىسى	Partij voor Rechtvaardigheid en Ontwikkeling
گۈللىنىش پارتىيىسى	Republikeinse Volkspartij
مىللى دارامەت بويىچە دۆلەت تەرتىپى	Lijst van landen naar bnp
خېيلوڭجياڭ ئۆلكىسى	Heilongjiang
ما يىنجىئۇ	Ma Ying-jeou
بۇخارېست	Boekarest
پوئىرتورىكان مۇستەقىللىق پارتىيىسى	Partido Independentista Puertorriqueño
Tirana	Tirana (stad)
ئېشەك	Ezel (dier)
سىچۈەن ئۆلكىسى	Sichuan
مۇھەممەر قەززافى	Moammar al-Qadhafi
بارس	Tijger
چۆپ ئاش	Vermicelli
سامسۇڭ گۇرۇھى	Samsung Group
شىمالىي ياۋروپا	Scandinavië
كىشىنېۋ	Chisinau
بیلگیسايار مۈھەندیسلیغی	Informatica
Şalom	Şalom
ئارۇبا	Aruba
خېبېي ئۆلكىسى	Hebei
پرىنسېتون ئۇنىۋېرستېتى	Princeton-universiteit
نېفىت	Aardolie
پېنسىلۋانىيە نېمىس تىلى	Pennsylvania-Duits
پرژىۋالسكى ياۋا ئات	Przewalskipaard
قوي	Schapen (geslacht)
ئىرلاندىيە	Ierland (eiland)
Chéshir	Cheshire (graafschap)
Nortumbér Wilayiti	Northumberland
Staffordshir	Staffordshire
ﻟﯘﺷﯜﻥ	Lu Xun (schrijver)
Shimaliy Amptonshir	Northamptonshire
Bédfordshir	Bedfordshire
Kornwél	Cornwall
Bristol	Bristol (Verenigd Koninkrijk)
Déwonshir	Devon
خالتىلىق چاشقانلار ئائىلىسى	Kangoeroes
Nashwil	Nashville (Tennessee)
Xampishir	Hampshire
Bérkshir	Berkshire
Bukkinxamshir	Buckinghamshire
Ésséks	Essex (graafschap)
Ként	Kent (graafschap)
Ulanbatur	Ulaanbaatar
ئېرنېست ھېمىڭۋاي	Ernest Hemingway
Idinburg	Edinburgh
ئاشخاباد	Asjchabad
پىياز	Ui (plant)
پەمىدۇر	Tomaat
جورج بۇش	George H.W. Bush
بالقانلار	Balkan (schiereiland)
پروتېستانت دىنى	Protestantisme
سەلەنا	Selena Quintanilla
Atlanta	Atlanta
بېرمۇدا	Bermuda
باش	Hoofd (anatomie)
ۋېللىنگتون	Wellington (stad in Nieuw-Zeeland)
روبوتلارنىڭ ئۈچ قانۇنى	Drie wetten van de robotica
ئالفېرد نوبىل	Alfred Nobel
لیلا چڑھاو	Lila Downs
907-يىلى	907
Wankuwér	Vancouver
Liwérpol	Liverpool
Brémén	Bremen (stad)
يېڭى نورۋېگىيە تىلى	Nynorsk
پوند ستېرلىڭ	Pond sterling
ئانگۋىللا	Anguilla (eiland)
فائېروس تىل	Faeröers
مۈشۈك ئائىلىسى	Katachtigen
ISO 3166-1	ISO 3166-1
تاتار تىلى	Tataars
ئەنگلىيىگە قاراشلىق ۋىرگىن تاقىم ئاراللىرى	Britse Maagdeneilanden
كىچىك سېسىق كۈزەنى	Wezel (dier)
فرىزانچە	Friese talen
ئاق ئاغمىخان	Hermelijn (dier)
قارشىلىق	Elektrische weerstand (eigenschap)
ناۋاسسا ئاراللىرى	Navassa
سېنت بارتھېلەمي ئاراللىرى	Saint-Barthélemy (eiland)
شىمالىي گېرمانىيە دىئالېكتى	Nederduits
ئاغمىخان ئائىلىسى	Marterachtigen
ساينت مارتىن	Sint Maarten (eiland)
بۆكەن	Antilopen
قارا بۇلغۇن	Sabelmarter
سۈنئىي ھەمراھ	Kunstmaan
قوتاز	Jak
ب م ۋ	BMW
Kuk Taqim Aralliri	Cookeilanden
رەشىدە داتى	Rachida Dati
شەرقىي ئاسىيا	Oost-Azië
ئوتتۇرا ئاسىيا	Centraal-Azië
ئاق تۆش بۇلغۇن	Steenmarter
ياۋا ئات	Equus ferus
ئامخارا تىلى	Amhaars
Képinek	Vlinders
چاچ	Haar (zoogdier)
ھىجرىيە كالېندارى	Islamitische kalender
جيامۇسى شەھىرى	Jiamusi
دىرىخلې	Johann Dirichlet
ئاستۇرىيە تىلى	Asturisch
خىتاي	China
قاما	Otter (dier)
چېڭدۇ شەھىر	Chengdu
يىلپىز	Sneeuwpanter
جېڭجۇ شەھىرى	Zhengzhou
تېرېسا ئانا	Moeder Teresa
DELL شىركىتى	Dell
فرانسىيىگە قاراشلىق پولىنېزىيە	Frans-Polynesië
618-يىلى	618
روژدېستۋو ئاراللىرى	Christmaseiland
Krakow	Krakau
بېيجىڭ پايتەخت ئايروپورتى	Internationale Luchthaven van Peking
تىراختور	Tractor Sazi FC
ۋېنىسىيە تىلى	Venetiaans
تەيۋەن ئۇنۋېرسىتې	Nationale universiteit van Taiwan
جامى	Moskee
كورسىكا تىلى	Corsicaans
فىلىپىنچە	Filipijns
چۇۋاش تىلى	Tsjoevasjisch
قرىم تاتار تىلى	Krim-Tataars
ھايتى كرېئول تىلى	Haïtiaans Creools
قارا قالپاق تىلى	Karakalpaks
ياۋا تىلى	Javaans
مۈشۈكئېيىق	Reuzenpanda
قالماق تىلى	Kalmuks
مانجۇ تىلى	Mantsjoe (taal)
كانناداچە	Kannada
مۇڭغۇل تىللىرى	Mongoolse talen
پوچېركا	Hand
دۇفۇ	Du Fu
يېڭى كالېدونىيە	Nieuw-Caledonië (gebiedsdeel)
ئورىياچە	Odia
نېپال تىلى	Nepalees
نېئاپول تىلى	Napolitaans
نورمان تىلى	Normandisch
تېئودور روزېۋېلت	Theodore Roosevelt
تېلاۋىف	Tel Aviv
Nis	Nice
سىتسىلىيە تىلى	Siciliaans (taal)
ساردىنىيە تىلى	Sardijns
ژىيۇل ۋېرن	Jules Verne
سىندى تىلى	Sindhi (taal)
سۇندا تىلى	Soendanees
شونا تىلى	Shona (taal)
Niué Arili	Niue
تاگالوگ تىلى	Tagalog
تۈركى تىللار ئائىلىسى	Turkse talen
تونگاچە	Tongaans
ئۇرال تىللىرى	Oeraalse taalfamilie
تىگرىنىيەچە	Tigrinya (taal)
Oksford	Oxford (Verenigd Koninkrijk)
تۇنگۇس مانجۇ تىللىرى	Toengoezische talen
زاڭزۇ تىلى	Tibetaans
ۋۇ تىلى	Wuyu
ۋىلسون	Woodrow Wilson
ياقۇت تىلى	Jakoets
يورۇباچە	Yoruba (taal)
سېسوتوچە	Zuid-Sotho
Rottérdam	Rotterdam
Yéngi Orléan	New Orleans (stad)
فۇشەن شەھىر	Foshan
ئوكسفورد ئۇنىۋېرسىتېتى	Universiteit van Oxford
ئەھمىدى نىجات	Mahmoud Ahmadinejad
Saynt Xéléna Arili	Sint-Helena (eiland)
ساينت پىئېر ئارىلى ۋە مىكېلون تاقىم ئاراللىرى	Saint-Pierre en Miquelon
ئون پەرھىز	Tien geboden
Yohannésburg	Johannesburg
قاپلان	Luipaard
Saltzburg	Salzburg (stad)
X نۇرى	Röntgenstraling
شىنجاڭ ئۇيغۇر ئاپتونوم رايونى	Sinkiang
Albukwér kwé	Albuquerque
Oklaxoma Shehiri	Oklahoma City
برىسبان	Brisbane
ئىسساك ئاسىموۋ	Isaac Asimov
جەنۇبىي گىئورگىيە ۋە ساندۋىچ ئاراللىرى	Zuid-Georgia en de Zuidelijke Sandwicheilanden
كۇۋائىت شەھىرى	Koeweit (stad)
ئەرەبلەر	Arabieren
سۇمېرلار	Soemer
كولومبو	Colombo (stad)
ئالمۇتا	Alma-Ata
قانداغاي	Eland
ۋاللىس ۋە فۇتۇنا تاقىم ئاراللىرى	Wallis en Futuna
تاتار مىللىتى	Tataren
خوككايدو ئارىلى	Hokkaido (Japan)
ئۇرال تاغلىرى	Oeral (gebergte)
ماددا	Materie
ئوساكا	Osaka
كامبرىج ئۇنىۋېرستېتى	Universiteit van Cambridge
ئاكا-ئۇكا رايتلار	Gebroeders Wright
گۇئارانچە	Guaraní (taal)
شور دېڭىز	Aralmeer
ئىستانبۇل بوغازى	Bosporus
Izmir	İzmir
كەئەلىڭ كوكوس تاقىم ئاراللىرى	Cocoseilanden
مېرسېدېس - بېنز	Mercedes-Benz
كۋېنسلاند	Queensland
Minnéapolis	Minneapolis
دەرەخ خالتىلىق ئېيىقى	Koala
2011-يىلدىكى ياپونىيە يەر تەۋرەش ۋە دېڭىز تاشقىنى	Zeebeving Sendai 2011
لىنگالاچە	Lingala
مالايالامچە	Malayalam
يىپەك يولى	Zijderoute
Kalgari	Calgary
ئوستىيىن	Jane Austen
قوڭۇر ئېيىق	Bruine beer
كۇرد تىلى	Koerdisch
مولداۋىيە تىلى	Moldavisch
يېڭى تاش قۇرال دەۋرى	Neolithicum
مورېسبى پورتى	Port Moresby
خىمىيىلىك رېئاكسىيە	Chemische reactie
لاھەي	Den Haag
جۇاڭزۇ مىللىتى	Zhuang (volk)
ئوسمانلى تۈركچىسى	Osmaans (taal)
يۇھاننا بايان قىلغان خۇش خەۋەر	Evangelie volgens Johannes
توكېلاۋ تاقىم ئاراللىرى	Tokelau
چاغاتاي ئۇيغۇر يېزىقى	Chagatai (taal)
تۋىچە	Twi
چېڭلۇڭ	Jackie Chan
توخار تىلى	Tochaars
ئېلان	Reclame
Zeytun	Olijf
ئاۋكلاند	Auckland
سەككىز دۆلەت گۇرۇھى (G8)	Groep van Acht
ئاۋكادۇر	Avocado
قىزىل قان دانىچىلىرى	Rode bloedcel
ئوقۇتقۇچى	Onderwijzer
تىز	Knie (anatomie)
ئۆرۈك	Abrikoos
گلۇكوزا	Glucose
Sint-Truiden	Sint-Truiden
ئالتاي تىللىرى سىستېمىسى	Altaïsche talen
ناتالىيە پورتمەن	Natalie Portman
Ran'gon	Rangoon (stad)
ناگاساكى	Nagasaki (stad)
يوكوخاما	Yokohama (stad)
ئادانا	Adana (stad)
لازېر نۇرى	Laser (licht)
Lyuju shehiri	Liuzhou
خەلق پۇلى يۈەنى	Chinese renminbi
Ritis	Leeds
رەجەپ تاييىپ ئەردوغان	Recep Tayyip Erdoğan
قىزغۇچ سېرىق	Oranje (kleur)
شىمال بۇغىسى	Rendier
لۇقا بايان قىلغان خۇش خەۋەر	Evangelie volgens Lucas
كونا تاش قۇرال دەۋرى	Paleolithicum
ئانتاليا ۋىلايىتى	Antalya (provincie)
ھەزرىتى ئەيسا ئەلچىلىرىنىڭ پائالىيەتلىرى	Handelingen van de apostelen
پەرۋەز مۇشەررەڧ	Pervez Musharraf
ئادانا ۋىلايىتى	Adana (provincie)
تاشقا ئايلانغان جىسىم	Fossiel
بۇرسا	Bursa (stad)
ئۇرۇق	Zaad (plant)
ئەنخۇي ئۆلكىسى	Anhui
خەلقئارا ئولىمپىك كومىتىتى	Internationaal Olympisch Comité
ماڭلاي	Voorhoofd
ئىچكى موڭغۇل ئاپتونوم رايونى	Binnen-Mongolië
Nottingxam	Nottingham
راكېتا	Raket
كۇردىستان	Koerdistan
ستانفورد ئۇنىۋېرستېتى	Stanford-universiteit
فۇجيەن ئۆلكىسى	Fujian (China)
Kanzas Shehiri, Missuri	Kansas City (Missouri)
كىچىك مۈشۈكئېيىق	Kleine panda
موڭغۇل مىللىتى	Mongolen
ۋەھىيلەر	Openbaring van Johannes
Sirtlan	Hyena's
كاسا	Bil (anatomie)
خەينەن ئۆلكىسى	Hainan
رىمان	Bernhard Riemann
گەنسۇ ئۆلكىسى	Gansu
ئاق قان ھۈجەيرىسى	Witte bloedcel
ئەنگلىيىلىكلەر	Engelsen (volk)
ئاناتول فرانس	Anatole France (schrijver)
ئوتلاق ياۋا مۈشۈكى	Afrikaanse wilde kat
جەينەك	Elleboog
سۇجۇ شەھىرى	Suzhou (Jiangsu)
جاڭگال مولۇنى	Moeraskat
بېنگال مولۇنى تاغ مۈشۈكى	Bengaalse tijgerkat
Wénju shehiri	Wenzhou
ۋۇشى شەھىرى	Wuxi
Shawshin shehiri	Shaoxing
خەنزۇ مىللىتى	Han-Chinezen
نىڭبو شەھىرى	Ningbo
ئابدۇللاھ گۈل	Abdullah Gül
نېمىسلار	Duitsers
خاربىن شەھىرى	Harbin
Orkéstr	Orkest
تۈرك قەھۋەسى	Turkse koffie
قىزىل ياقۇت	Robijn (korund)
كەشمىر	Jammu en Kasjmir (gebied)
كەۋىن رۇد	Kevin Rudd
يۈننەن ئۆلكىسى	Yunnan
مالكولم X	Malcolm X
مەۋلانا جالالىددىن رۇمى	Jalal ad-Din Rumi
Plimowt	Plymouth (Verenigd Koninkrijk)
شەندۇڭ ئۆلكىسى	Shandong
قول	Arm (ledemaat)
Dérbi	Derby (Verenigd Koninkrijk)
ياقۇت رەڭلىك	Smaragd
كىرىستال	Kristal (natuurwetenschappen)
خېنەن ئۆلكىسى	Henan (China)
بۇرسا ۋىلايىتى	Bursa (provincie)
ئارتۋىن ۋىلايىتى	Artvin (provincie)
كىندىك	Navel
ئادىيامان ۋىلايىتى	Adıyaman (provincie)
لياۋنىڭ ئۆلكىسى	Liaoning
خىمىيىلىك باغ	Chemische binding
GNU	GNU
توچىگى ناھىيىسى	Tochigi (prefectuur)
سېمونت	Cement (bouwmateriaal)
جىلىن ئۆلكىسى	Jilin (provincie)
ئافيون قاراھىسار ۋىلايىتى	Afyonkarahisar (provincie)
بېربېرلار	Berbers
ئېچىتقۇ	Gist
خۇنەن ئۆلكىسى	Hunan
ھونلار	Hunnen
چىڭخەي ئۆلكىسى	Qinghai
ئۇيغۇر مىللىتى	Oeigoeren
بىلەجىك ۋىلايىتى	Bilecik (provincie)
خۇبېي ئۆلكىسى	Hubei
شەنشى ئۆلكىسى	Shanxi
يۈز	Wang (anatomie)
قوڭۇر رەڭلىك	Bruin
گۇيلىن ئۆلكىسى	Guizhou
بالىكەسىر ۋىلايىتى	Balıkesir (provincie)
كيوتو كىلىشىمنامىسى	Kyoto-protocol
ئانىلار بايرىمى	Moederdag
خەلقئارا ئىسلام كېڭىشى تەشكىلاتى	Organisatie van de Islamitische Samenwerking
چاناققالە ۋىلايىتى	Çanakkale (provincie)
مىياگى ناھىيىسى	Miyagi (prefectuur)
Luknow	Lucknow (stad)
شېنشى ئۆلكىسى	Shaanxi
رىملىقلارغا يېزىلغان خەت	Brief van Paulus aan de Romeinen
مالىكىي مەزھىبى	Malikieten
ئوقۇغۇچى	Student
Kobe	Kobe
ئىۋاتە ناھىيىسى	Iwate (prefectuur)
كولۇمبىيە ئۇنىۋېرستېتى	Columbia-universiteit
بوستون ئۇنىۋېرستېتى	Universiteit van Boston
يالې ئۇنىۋېرسىتېتى	Yale-universiteit
پېنسىلۋانىيە ئۇنىۋېرستېتى	Universiteit van Pennsylvania
Portland, Méané	Portland (Maine)
نيۇيورك ئۇنىۋېرستېتى	New York-universiteit
ئىتاليانلار	Italianen
پارىژ مېتروسى	Metro van Parijs
پىرىت	Pyriet
فىلىپىلىكلەرگە يېزىلغان خەت	Brief van Paulus aan de Filippenzen
ئېگىزلىك گېرمان تىلى	Hoogduits
قېلىپ:Taxobox	Sjabloon:Taxobox
قارا ئېقىم	Kuroshio
خەلق گېزىتى	Volksdagblad (China)
جياڭشى ئۆلكىسى	Jiangxi
ئىلھام ئالىيېۋ	İlham Aliyev
زاردارى	Asif Ali Zardari
نۇرسۇلتان نازاربايېۋ	Noersoeltan Nazarbajev
نىڭشيا خۇيزۇ ئاپتونۇم رايونى	Ningxia
ئىسلام كەرىموۋ	Islom Karimov
شۈجو شەھىرى	Xuzhou
Lyenyün'gang shehiri	Lianyungang
ساۋكات مىرزىيويەۋ	Shavkat Mirziyoyev
خۇەيئەن شەھىرى	Huai'an
Yangjo shehiri	Yangzhou
Teyju shehiri, Jyangsu	Taizhou (Jiangsu)
Nentung shehiri	Nantong
جاڭجياڭ شەھىرى	Zhenjiang
چاڭجو شەھىر	Changzhou
ئەھمەد داۋۇد ئوغلۇ	Ahmet Davutoğlu
تەيجۇ شەھىرى	Taizhou (Zhejiang)
جۇشەن شەھىرى	Zhoushan
شىجياجۇاڭ شەھىرى	Shijiazhuang
تاڭشەن شەھىرى	Tangshan
Chinxuangdaw shehiri	Qinhuangdao
خەندەن شەھىرى	Handan
Bawding shehiri	Baoding
پەنجاب تىلى	Punjabi
پاشتوچە	Pasjtoe
ساڭجو شەھىرى	Cangzhou
Langfang shehiri	Langfang
Juxey shehiri	Zhuhai
شەنتۇ شەھىرى	Shantou
Xuyjo shehiri	Huizhou
Dongwen shehiri	Dongguan
Jongshen shehiri	Zhongshan (stadsprefectuur)
مىقدار سۆز	Telwoord
ئۆت خالتىسى	Galblaas
Jaypur	Jaipur (stad)
فۇجو شەھىرى	Fuzhou (Fujian)
Nenping shehiri	Nanping
Putyen shehiri	Putian
Senming shehiri	Sanming
Chüenju shehiri	Quanzhou
شيامېن شەھىرى	Xiamen
Jyangju shehiri	Zhangzhou
Longyen shehiri	Longyan
Ningdé shehiri	Ningde
Shining shehiri	Xining
تاغىل سېسىق كۈزەن	Gevlekte bunzing
ئادەم ئەلەيھىسسالام	Adam
خۇئاڭشى شەھىرى	Huangshi
ئائومورى ناھىيىسى	Aomori (prefectuur)
فۇكۇشىما ناھىيىسى	Fukushima (prefectuur)
تەييۈەن شەھىرى	Taiyuan
داتۇڭ شەھىر	Datong
داليەن شەھىرى	Dalian
ئەنشەن شەھىرى	Anshan (Liaoning)
يىڭكۇ شەھىرى	Yingkou
لياۋياڭ شەھەر	Liaoyang
يوزگات ۋىلايىتى	Yozgat (provincie)
چوڭ مېڭە پوستلاق ماددىسى	Hersenschors
ئوڭچى	Rechts (politiek)
كارل ۋون دونىتىز	Karl Dönitz
سۆسۈنە ياقۇت	Amethist
بىنگۆل ۋىلايىتى	Bingöl (provincie)
تايغان بۇغا	Edelhert
ئارداھان ۋىلايىتى	Ardahan (provincie)
ئايدىن ۋىلايىتى	Aydın (provincie)
ئاماسيا ۋىلايىتى	Amasya (provincie)
قازاق مىللىتى	Kazachen
ئاغرى ۋىلايىتى	Ağrı (provincie)
بۇردۇر ۋىلايىتى	Burdur (provincie)
كورىنتلىقلارغا يېزىلغان بىرىنچى خەت	Eerste brief van Paulus aan de Korintiërs
باتمان ۋىلايىتى	Batman (provincie)
كۇرىل ئاراللىرى	Koerilen
يېڭى يەر	Nova Zembla
Patna	Patna (stad)
سۇلتان ئاخمەت جامىي	Sultan Ahmetmoskee
ۋان ۋىلايىتى	Van (provincie)
كونيا ۋىلايىتى	Konya (provincie)
ئاكىتا ناھىيىسى	Akita (prefectuur)
سېگولەن رويال	Ségolène Royal
بولۇ ۋىلايىتى	Bolu (provincie)
دېنىزلى ۋىلايىتى	Denizli (provincie)
شافىئىي مەزھىپى	Sjafisme
گىپىس	Gips
ئېڭەك	Kin (lichaamsdeel)
ئامېرىكا ياۋا كالىسى	Amerikaanse bizon
Léyséstér	Leicester (Engeland)
ساكاريا ۋىلايىتى	Sakarya (provincie)
ئاقساراي ۋىلايىتى	Aksaray (provincie)
قارس ۋىلايىتى	Kars (provincie)
دىيارباقىر ۋىلايىتى	Diyarbakır (provincie)
مور	Paddenstoel (schimmel)
تەيبېي 101	Taipei 101
ئەدىرنە ۋىلايىتى	Edirne (provincie)
ظوسذث	Sla
بىتلىس ۋىلايىتى	Bitlis (provincie)
ئىباراكى ناھىيىسى	Ibaraki (prefectuur)
ھاتاي ۋىلايىتى	Hatay (provincie)
زىيا گۆكئالىپ	Ziya Gökalp
پان تۈركىزم	Panturkisme
