ทวีปแอฟริกา	Afrika
ผลึก	Kristal (natuurwetenschappen)
.mo	.mo
.np	.np
.ms	.ms
.rw	.rw
มัทธิวผู้นิพนธ์พระวรสาร	Matteüs (apostel)
เฟรนช์โอเพ่น	Roland Garros (tennistoernooi)
โอดิน	Odin (god)
มัมมี่	Mummie
สิ่งแวดล้อมทางธรรมชาติ	Natuurlijke omgeving
แมคโอเอส	Mac OS
ไลเดิน	Leiden
นกกีวี	Apteryx
ไฮโดรคาร์บอน	Koolwaterstof
อะพอลโล 11	Apollo 11
คอเลสเตอรอล	Cholesterol
ถุงเท้า	Sok (kledingstuk)
โทมัส มึลเลอร์	Thomas Müller (voetballer)
ลุยส์วิลล์	Louisville (Kentucky)
โธมัสอัครทูต	Tomas (apostel)
.me	.me
ฟีลิปอัครทูต	Filippus (apostel)
ฟิลิปป์ ลาห์ม	Philipp Lahm
มณฑลเหอหนาน	Henan (China)
แอมโบรสแห่งมิลาน	Ambrosius van Milaan
รัฐโตกันตินส์	Tocantins (staat)
ฌ็อง เรโน	Jean Reno
จอห์น คริสซอสตอม	Johannes Chrysostomus
สามเหลี่ยมเบอร์มิวดา	Bermudadriehoek
วลาดที่ 3 นักเสียบ	Vlad Dracula
สมเด็จพระสันตะปาปาปิอุสที่ 9	Paus Pius IX
สมเด็จพระสันตะปาปาลีโอที่ 12	Paus Leo XII
อันเดรส อีเนียสตา	Andrés Iniesta
สมเด็จพระสันตะปาปาเกรกอรีที่ 16	Paus Gregorius XVI
กั้งตั๊กแตนเจ็ดสี	Odontodactylus scyllarus
ยะซุนะริ คะวะบะตะ	Yasunari Kawabata
สมเด็จพระสันตะปาปาปิอุสที่ 10	Paus Pius X
โอเอซิส	Oase
แกร์ด มึลเลอร์	Gerd Müller
โบนาเวนตูรา	Bonaventura
ภาษาแชต	Internetjargon
.mv	.mv
.sd	.sd
.sl	.sl
.st	.st
แผ่นดินไหวในเฮติ พ.ศ. 2553	Aardbeving Haïti 2010
รัฐเซร์ชิเป	Sergipe
ไก่งวง	Meleagris
สะดือ	Navel
สัตว์ไม่มีกระดูกสันหลัง	Ongewervelden
หนังสือเดินทาง	Paspoort
.hm	.hm
.tw	.tw
.sb	.sb
เอ็ดดี้ เมอร์ฟี	Eddie Murphy (acteur)
.ky	.ky
.mp	.mp
.ps	.ps
อาร์เยิน โรบเบิน	Arjen Robben
.pf	.pf
จักรพรรดิออทโทที่ 1 แห่งจักรวรรดิโรมันอันศักดิ์สิทธิ์	Keizer Otto I de Grote
เซเลม (รัฐออริกอน)	Salem (Oregon)
สมเด็จพระสันตะปาปาลีโอที่ 13	Paus Leo XIII
อันเดรอา ปีร์โล	Andrea Pirlo
มณฑลเหลียวหนิง	Liaoning
อาซาวัด	Azawad
แอนเซล์มแห่งแคนเทอร์เบอรี	Anselmus van Canterbury
ยูดาอัครทูต	Judas Taddeüs
สมเด็จพระสันตะปาปาลีโอที่ 1	Paus Leo I
เอลซิด	Rodrigo Díaz de Vivar
แจ็กเดอะริปเปอร์	Jack the Ripper
มูฮัมหมัด ยูนูส	Muhammad Yunus
จักรพรรดิหลุยส์ผู้ศรัทธา	Lodewijk de Vrome
ยัน ฮุส	Johannes Hus
บารโธโลมิวอัครทูต	Bartolomeüs (apostel)
ไข้หวัดนก	Vogelpest
กริกอรี รัสปูติน	Grigori Raspoetin
ยากอบ บุตรเศเบดี	Jakobus de Meerdere
วงศ์สมอ	Combretaceae
ยอห์นอัครทูต	Johannes (apostel)
นักบุญมัทธีอัส	Mattias
นกตะขาบทุ่งอกสีม่วง	Vorkstaartscharrelaar
อะทาเนเชียสแห่งอะเล็กซานเดรีย	Athanasius van Alexandrië
อีกอน ชีเลอ	Egon Schiele
สมเด็จพระเจ้าลุดวิกที่ 2 แห่งบาวาเรีย	Lodewijk II van Beieren
ดัสลีดแดร์ดอยท์เชิน	Das Lied der Deutschen
ยากอบ บุตรอัลเฟอัส	Jakobus (zoon van Alfeüs)
พ.ศ. 160	384 v.Chr.
ฟรันซ์ มาร์ค	Franz Marc
พ.ศ. 280	264 v.Chr.
สะพานมิลเลนเนียม (ลอนดอน)	Millennium Bridge
ลาปลาตา	La Plata (Buenos Aires)
รีส วิเธอร์สปูน	Reese Witherspoon
ปลาแซลมอนซ็อกอาย	Rode zalm
พ.ศ. 359	185 v.Chr.
ยูริ อันโดรปอฟ	Joeri Andropov
เจสสิกา อัลบา	Jessica Alba
ซิริลแห่งอะเล็กซานเดรีย	Cyrillus van Alexandrië
.pw	.pw
คาร์ล ออร์ฟ	Carl Orff
พ.ศ. 375	169 v.Chr.
นักบุญดอมินิก	Dominicus Guzman
พ.ศ. 425	119 v.Chr.
พ.ศ. 349	195 v.Chr.
เดนเจอรัส (อัลบั้ม)	Dangerous (album)
พ.ศ. 429	115 v.Chr.
นกตะขาบดง	Dollarvogel
แดน เชชท์มัน	Daniel Shechtman
คิวเรเน	Cyrene (stad)
พ.ศ. 424	120 v.Chr.
ฮามิต อัลทึนโทป	Hamit Altıntop
พลัมยุโรป	Pruim
จ็องโก เรนาร์ต	Django Reinhardt
เซิร์ฟเวอร์	Server
ทะเลขาว	Witte Zee
เจฟฟ์ ฮาร์ดี	Jeff Hardy
แบด (อัลบั้ม)	Bad (album)
คริส เจอริโค	Chris Jericho
เพศชาย	Mannelijk (biologie)
เรย์ มิสเตริโอ	Rey Mysterio
เดฟ บาทิสตา	Dave Batista
ตูลง	Toulon
อดัม โคปแลนด์	Adam Copeland
อิกเนเชียสแห่งแอนติออก	Ignatius van Antiochië
พ.ศ. 388	156 v.Chr.
ฮัลค์ โฮแกน	Hulk Hogan
พ.ศ. 415	129 v.Chr.
วิลเลียม โกลดิง	William Golding
เบ็น (อัลบั้ม)	Ben (album)
เรดิโอเฮด	Radiohead
มักซีมีเลียง รอแบ็สปีแยร์	Maximilien de Robespierre
โครนัส	Kronos
มิวสิกแอนด์มี	Music & Me (album)
กอร์โดบา (ประเทศอาร์เจนตินา)	Córdoba (Argentinië)
แอนเดอส์ เบห์ริง เบรวิก	Anders Behring Breivik
ฌอน เพนน์	Sean Penn
พ.ศ. 440	104 v.Chr.
เลโอไนดาสที่ 1	Leonidas I van Sparta
จันทรุปราคา	Maansverduistering
เมนโดซา (อาร์เจนตินา)	Mendoza (stad)
เบียดมา	Viedma
วงศ์นกตะขาบ	Scharrelaars
นักบุญเจอโรม	Hiëronymus van Stridon
พ.ศ. 405	139 v.Chr.
ซานเตียโกเดลเอสเตโร	Santiago del Estero (stad)
อูซัวยา	Ushuaia
ซานมีเกลเดตูกูมัน	San Miguel de Tucumán
สโมสรฟุตบอลอันซานฮาลเลลูยาห์	Goyang Hi FC
พ.ศ. 422	122 v.Chr.
เปียโนคอนแชร์โต (กริก)	Pianoconcert (Grieg)
เบเนดิกต์แห่งเนอร์เซีย	Benedictus van Nursia
พ.ศ. 338	206 v.Chr.
นักบุญนิโคลัส	Nicolaas van Myra
มีแชล ฟูโก	Michel Foucault
โอลิเวอร์ ครอมเวลล์	Oliver Cromwell
อิกเนเชียสแห่งโลโยลา	Ignatius van Loyola
พ.ศ. 221	323 v.Chr.
ประเทศเดนมาร์กในโอลิมปิกฤดูร้อน 2012	Denemarken op de Olympische Zomerspelen 2012
ออฟเดอะวอลล์ (อัลบั้ม)	Off the Wall (album)
คริส เบนวา	Chris Benoit
ฟอร์ดมอเตอร์	Ford Motor Company
บัสเตียน ชไวน์ชไตเกอร์	Bastian Schweinsteiger
หมาป่าไคโยตี	Coyote
จิม มอร์ริสัน	Jim Morrison
ดิอันเดอร์เทเกอร์	Mark Calaway
ซัลมัน รัชดี	Salman Rushdie
ดานีเยล ฟัน เบยเติน	Daniel Van Buyten
เหตุระเบิดในอเล็กซานเดรีย พ.ศ. 2554	Bomaanslag in Alexandrië
ญิฮาด	Jihad
สตีฟ ออสติน	Stone Cold Steve Austin
ฮิเดะโตะ มะสึโมะโตะ	Hide (gitarist)
กะโนม	GNOME
พระเจ้ามักซีมีเลียนที่ 1 โยเซฟแห่งบาวาเรีย	Maximiliaan I Jozef van Beieren
ทริลเลอร์ (อัลบั้ม)	Thriller (album)
พ.ศ. 341	203 v.Chr.
อดอล์ฟ ลูส	Adolf Loos
บัชชาร อัลอะซัด	Bashar al-Assad
รายพระนามพระมหากษัตริย์โบฮีเมีย	Lijst van heersers van Bohemen
เมทริกซ์ (คณิตศาสตร์)	Matrix (wiskunde)
ตำนาน	Legende (volksverhaal)
ฮิสทรี: พาสต์เพรเซนต์แอนด์ฟิวเจอร์บุ๊ก 1	HIStory: Past, Present and Future, Book I
โคฟี คิงส์ตัน	Kofi Kingston
พ.ศ. 442	102 v.Chr.
เคน (นักมวยปล้ำ)	Glenn Jacobs
ประเทศเดนมาร์กในโอลิมปิกฤดูร้อน 1908	Denemarken op de Olympische Zomerspelen 1908
ซาร์	Tsaar
เฟอร์มิออน	Fermion
อ็องเดรเดอะไจแอนต์	André the Giant
วาเลนตีนา เตเรชโควา	Valentina Teresjkova
เอ็ดดี เกอร์เรโร	Eddie Guerrero
อินวินซิเบิล (อัลบั้มไมเคิล แจ็กสัน)	Invincible (album)
อุโมงค์	Tunnel
บิ๊กโชว์	Paul Wight
เดอะ มิซ	Mike Mizanin
คาเมรอน ดิแอซ	Cameron Diaz
ฮิฟีสตัส	Hephaistos
จักรพรรดิดาไรอัสมหาราช	Darius I
ปาสกาล (หน่วยวัด)	Pascal (eenheid)
มูนวอคเกอร์ ดิ้นมหัศจรรย์	Moonwalker
กาแยน	Cayenne (stad)
เทวาธิปไตย	Theocratie
กัปตันอีโอ	Captain EO
ฮันส์ คริสเทียน เออร์สเตด	Hans Christian Ørsted
เน็กไท	Stropdas
พันธะเคมี	Chemische binding
วินซ์ แม็กแมน	Vince McMahon
ความร้อน	Warmte
จอห์น ซีนา	John Cena
สะพานโกลเดนเกต	Golden Gate Bridge
ไมเคิล แจ็กสัน ดิส อิส อิท	Michael Jackson's This Is It
วงศ์ถั่ว	Vlinderbloemenfamilie
แรนดี ออร์ตัน	Randy Orton
เคิร์ต แองเกิล	Kurt Angle
ทฤษฎีเกม	Speltheorie
ประเทศเดนมาร์กในโอลิมปิกฤดูร้อน 1912	Denemarken op de Olympische Zomerspelen 1912
ริชาร์ด ดอว์กินส์	Richard Dawkins
ออร์แลนโด บลูม	Orlando Bloom
หอก	Speer
ไมเคิลแจ็กสันส์โกตส์	Ghosts (Michael Jackson)
ปีแยร์-ซีมง ลาปลัส	Pierre-Simon Laplace
เอชทีทีพีเอส	HyperText Transfer Protocol Secure
พ.ศ. 385	159 v.Chr.
การทำเหมืองแร่	Mijnbouw
พ.ศ. 403	141 v.Chr.
อันดับปลาฉลามหัววัว	Varkenshaaien
โรคระบาด	Epidemie
เซลมา ลอเกร์เลิฟ	Selma Lagerlöf
ทไวไลท์ (ชุดนวนิยาย)	Twilight (boekenreeks)
พระเจ้ามักซีมีเลียนที่ 2 แห่งบาวาเรีย	Maximiliaan II van Beieren
เดนเจอรัสเวิลด์ทัวร์	Dangerous World Tour
แผ่นดินแห่งพันธสัญญา	Beloofde Land
คริสเตียน (นักมวยปล้ำ)	Jason Reso
เทวสถาน	Tempel
แพนเค้ก	Pannenkoek
ริก แฟลร์	Ric Flair
หอดูดาวอาเรซีโบ	Arecibo (radiotelescoop)
พ.ศ. 361	183 v.Chr.
ดาวเคราะห์นอกระบบ	Exoplaneet
ทริปเปิล เอช	Triple H (worstelaar)
กนู	GNU
ฮิสทรีเวิลด์ทัวร์	HIStory World Tour
ไททานิก (ภาพยนตร์)	Titanic (1997)
รางวัลโนเบลสาขาเคมี	Nobelprijs voor de Scheikunde
มิตซูบิชิ แลนเซอร์ อีโวลูชัน	Mitsubishi Lancer Evolution
ดิสอีสอิต (คอนเสิร์ต)	This Is It (concert)
วี เอส ไนพอล	V.S. Naipaul
มนุษย์กินคน	Kannibalisme
การอดอาหาร	Vasten
แก๊กต์	Gackt
อาราม	Klooster (gebouw)
ความกลัว	Angst
ยุคครีเทเชียส	Krijt (periode)
ร็อบ แวน แดม	Robert Szatkowski
อิคีเนอเดอร์เมอเทอ	Stekelhuidigen
บูเกอร์ ที	Booker Huffman
มอนเทล วอนเทเวียส พอร์เตอร์	Montel Vontavious Porter
สติง (นักมวยปล้ำ)	Steve Borden
เบนจามิน ทอมป์สัน	Benjamin Thompson
ปาโอโล ดี กานีโอ	Paolo Di Canio
ซานติโน่ มาเรลล่า	Santino Marella
พ.ศ. 303	241 v.Chr.
ชาโว เกอร์เรโร จูเนียร์	Chavo Guerrero Jr.
ชุทซ์ชทัฟเฟิล	Schutzstaffel
จอห์น เลย์ฟิลด์	John Layfield
พ.ศ. 335	209 v.Chr.
เดอะสตาร์สแปงเกิลด์แบนเนอร์	The Star-Spangled Banner
ประเทศเดนมาร์กในโอลิมปิกฤดูร้อน 1900	Denemarken op de Olympische Zomerspelen 1900
เดฟ ฟินเลย์	Dave Finlay
ปักษีวิทยา	Ornithologie
พ.ศ. 334	210 v.Chr.
ปฏิทินฮีบรู	Joodse kalender
ทิลมัน รีเมนชไนเดอร์	Tilman Riemenschneider
ทะเลเบริง	Beringzee
อีสุกอีใส	Waterpokken
พ.ศ. 441	103 v.Chr.
ฟรันซิสโก ปีซาร์โร	Francisco Pizarro
หลักความไม่แน่นอน	Onzekerheidsrelatie van Heisenberg
วอยวอดีนา	Vojvodina
รัฐบัวโนสไอเรส	Buenos Aires (provincie)
รัฐกาตามาร์กา	Catamarca (provincie)
รัฐชาโก	Chaco (provincie)
รัฐกอร์เรียนเตส	Corrientes (provincie)
รัฐกอร์โดบา	Córdoba (provincie van Argentinië)
รัฐฟอร์โมซา	Formosa (provincie)
รัฐเอนเตรรีโอส	Entre Ríos (provincie)
รัฐคูคุย	Jujuy (provincie)
พ.ศ. 399	145 v.Chr.
พ.ศ. 197	347 v.Chr.
พ.ศ. 402	142 v.Chr.
หม่อน	Moerbei
รัฐลาปัมปา	La Pampa (provincie)
รัฐลารีโอคา	La Rioja (provincie van Argentinië)
รัฐเมนโดซา	Mendoza (provincie)
รัฐมีซีโอเนส	Misiones (provincie)
รัฐเนวเกน	Neuquén (provincie)
รัฐรีโอเนโกร	Río Negro (provincie)
รัฐซัลตา	Salta (provincie)
รัฐซานควน	San Juan (provincie van Argentinië)
บิ๊กฟุต	Bigfoot (cryptide)
กากรา	Gagra (stad)
เดอะลิตเติลฟ็อกซ์	Vuk (film)
รัฐซานลุยส์	San Luis (provincie)
ซูฮาร์โต	Soeharto
รัฐซานตากรุซ	Santa Cruz (provincie van Argentinië)
รัฐซานตาเฟ	Santa Fe (provincie)
รัฐซานเตียโกเดลเอสเตโร	Santiago del Estero (provincie)
รัฐตูกูมัน	Tucumán (provincie)
พ.ศ. 435	109 v.Chr.
รัฐเตียร์ราเดลฟวยโก	Vuurland, Antarctica en Zuid-Atlantische eilanden
พ.ศ. 329	215 v.Chr.
พ.ศ. 396	148 v.Chr.
จังหวัดโทะชิงิ	Tochigi (prefectuur)
การจับจอง	Kraken (onroerend goed)
ท่าอากาศยานนานาชาติไต้หวันเถาหยวน	Internationale luchthaven Taiwan Taoyuan
จอห์น เลเจนด์	John Legend
โมเดล-วิว-คอนโทรลเลอร์	Model-view-controller-model
บ็อบ ฮอลลี	Bob Holly
ถ้ำเซินด่อง	Hang Sơn Đoòng
ครัฟท์แวร์ค	Kraftwerk
ลินด์ซีย์ โลเอิน	Lindsay Lohan
ซูโดะกุ	Sudoku
.nu	.nu
.wf	.wf
จุด (เรขาคณิต)	Punt (wiskunde)
.io	.io
ประเทศเดนมาร์กในโอลิมปิกฤดูร้อน 1896	Denemarken op de Olympische Zomerspelen 1896
.tc	.tc
อเล็กซ์ เฟอร์กูสัน	Alex Ferguson
ทัลซา	Tulsa (Oklahoma)
พจนานุกรมภาษาอังกฤษ ฉบับออกซฟอร์ด	Oxford English Dictionary
เอนโทรปี	Entropie
รัฐชูบุต	Chubut (provincie)
พ.ศ. 423	121 v.Chr.
นกกระเต็น	IJsvogels
พ.ศ. 355	189 v.Chr.
พ.ศ. 365	179 v.Chr.
การจำลอง	Simulatie
พ.ศ. 358	186 v.Chr.
สมเด็จพระราชาธิบดีคาร์ลที่ 16 กุสตาฟแห่งสวีเดน	Karel XVI Gustaaf van Zweden
ลูกเต๋า	Dobbelsteen
พระยม	Yama (yoga)
พ.ศ. 354	190 v.Chr.
ICD-10	ICD-10
พ.ศ. 392	152 v.Chr.
พ.ศ. 376	168 v.Chr.
.rs	.rs
ซิสเตมออฟอะดาวน์	System of a Down
โรงอุปรากรซิดนีย์	Sydney Opera House
โคลด์เพลย์	Coldplay
ซีเมนต์	Cement (bouwmateriaal)
หมาผลาญตระกูล	De hond van de Baskervilles
มณฑลจี๋หลิน	Jilin (provincie)
แซค แอฟรอน	Zac Efron
ออสตราเลเซีย	Australazië
พ.ศ. 211	333 v.Chr.
พ.ศ. 309	235 v.Chr.
ราชวงศ์ซัฟฟาริด	Saffariden
ชนเบอร์เบอร์	Berbers
เกาะเอลบา	Elba
ทะเลจีนตะวันออก	Oost-Chinese Zee
เดอะดอร์ส	The Doors
อันอะโพโลเจติก	Unapologetic
สุสานแห่งฮาลิคาร์นัสเซิส	Mausoleum van Halicarnassus
พ.ศ. 322	222 v.Chr.
รัฐประหาร	Staatsgreep
พ.ศ. 308	236 v.Chr.
พ.ศ. 307	237 v.Chr.
แม่น้ำพรหมบุตร	Brahmaputra
พ.ศ. 306	238 v.Chr.
โกอิมบรา	Coimbra (stad)
พ.ศ. 305	239 v.Chr.
ยีสต์	Gist
พ.ศ. 311	233 v.Chr.
อาร์เอสเอส	Really Simple Syndication
พ.ศ. 313	231 v.Chr.
พ.ศ. 367	177 v.Chr.
พ.ศ. 315	229 v.Chr.
พ.ศ. 373	171 v.Chr.
พ.ศ. 319	225 v.Chr.
พ.ศ. 411	133 v.Chr.
พ.ศ. 318	226 v.Chr.
พ.ศ. 407	137 v.Chr.
พ.ศ. 321	223 v.Chr.
พ.ศ. 360	184 v.Chr.
พ.ศ. 400	144 v.Chr.
สวัสติกะ	Swastika (symbool)
พ.ศ. 397	147 v.Chr.
ผี	Spook
วิลเลียม เวิร์ดสเวิร์ธ	William Wordsworth
วงศ์งูโบอา	Reuzenslangen
เดนนิส ริตชี	Dennis Ritchie
การเลือกตั้งประธานาธิบดีสหรัฐอเมริกา ค.ศ. 2008	Amerikaanse presidentsverkiezingen 2008
อัครทูตสวรรค์มีคาเอล	Michaël (aartsengel)
ราตรีประดับดาว	De sterrennacht
การทักทาย	Groet (etiquette)
พ.ศ. 312	232 v.Chr.
กันดะฮาร์	Kandahar (stad)
พอล สโกลส์	Paul Scholes
เซรามิก	Keramiek
รืด ฟัน นิสเติลโรย	Ruud van Nistelrooij
พ.ศ. 393	151 v.Chr.
เหตุแห่งสงคราม	Casus belli
โกโก ชาแนล	Coco Chanel
พ.ศ. 432	112 v.Chr.
บี.โอ.บี	B.o.B
ยูคาลิปตัส	Eucalyptus
ราชอาณาจักรโปรตุเกส	Koninkrijk Portugal
แอนฟีลด์	Anfield
อัดจารา	Adzjarië
โคนามิ	Konami
ปฏิกูล	Afval (vuilnis)
ไททัน (เทพปกรณัม)	Titaan (mythisch wezen)
พระคาร์ดินัล	Kardinaal (geestelijke)
แมงมุมเพื่อนรัก	Charlotte's Web (boek)
เขตสาทร	Sathorn
นโยบายเศรษฐกิจใหม่	Nieuwe Economische Politiek
วิศวนาธาน อนันด์	Viswanathan Anand
แอลซีดีซาวด์ซิสเตม	LCD Soundsystem
ขนุน	Nangka
สัมประสิทธิ์ของการขยายตัวจากความร้อน	Uitzettingscoëfficiënt
มณฑลหูหนาน	Hunan
ภาษาสูญแล้ว	Dode taal
มารีโอ โกเมซ	Mario Gómez
พ.ศ. 194	350 v.Chr.
คริสเตียน เบล	Christian Bale
ฟยอร์ด	Fjord
โกร่งบดยา	Vijzel (vermaler)
ตู้ปลา	Aquarium
คิม แด-จุง	Kim Dae-jung
กษัตริย์อาเธอร์	Koning Arthur
กิฟุ (เมือง)	Gifu (stad)
สินสอด (ให้แก่ฝ่ายชาย)	Bruidsschat
ยุคจูแรสซิก	Jura (periode)
ชาวฮัน	Hunnen
ทะเลแบเร็นตส์	Barentszzee
มณฑลชิงไห่	Qinghai
เกมสปอต	GameSpot
พ.ศ. 347	197 v.Chr.
เว็บครอว์เลอร์	Spider
พ.ศ. 337	207 v.Chr.
สมเด็จพระราชินีนาถอีซาเบลที่ 1 แห่งคาสตีล	Isabella I van Castilië
ลิเบีย ลิเบีย ลิเบีย	Libië, Libië, Libië
รูปสี่เหลี่ยมด้านขนาน	Parallellogram
พ.ศ. 439	105 v.Chr.
มหาศึกชิงบัลลังก์ (บันเทิงคดี)	Het Lied van IJs en Vuur
พ.ศ. 356	188 v.Chr.
พ.ศ. 364	180 v.Chr.
ฟาบีโอ กวาลยาเรลลา	Fabio Quagliarella
ตีแยรี อ็องรี	Thierry Henry
จอห์น เคล	John Cale
พ.ศ. 413	131 v.Chr.
ลูกธนู	Pijl (wapen)
แอรอน เทย์เลอร์-จอห์นสัน	Aaron Taylor-Johnson
มนุษย์ปักกิ่ง	Pekingmens
สตราโบ	Strabo (historicus)
ท่าอากาศยานนานาชาติออกแลนด์	Luchthaven van Auckland
ออร์แกเนลล์	Organel
ปราสาทพระวิหาร	Preah Vihear (tempel)
ป้อมแดง	Rode Fort (Delhi)
อาการไม่พึงประสงค์จากยา	Bijwerking
ตระกูลภาษาจีน-ทิเบต	Sino-Tibetaanse talen
เพอร์เซฟะนี	Persephone (mythologie)
ม้าลายควากกา	Quagga
นกออก	Witbuikzeearend
ริทึมแอนด์บลูส์	Rhythm-and-blues
รหัสยลัทธิ	Mystiek
ธงชาติลาว	Vlag van Laos
ท่าอากาศยานนานาชาติแฟรงก์เฟิร์ต	Flughafen Frankfurt am Main
พ.ศ. 353	191 v.Chr.
ตุลาคม พ.ศ. 2554	Oktober 2011
กระต่ายแจ็ก	Echte hazen
สงครามฝรั่งเศส-ปรัสเซีย	Frans-Duitse Oorlog
สมเด็จพระสันตะปาปาซิลเวสเตอร์ที่ 3	Paus Silvester III
เฟลิกซ์ เมนเดลโซห์น	Felix Mendelssohn Bartholdy
ดาดราและนครหเวลี	Dadra en Nagar Haveli
จังหวัดโรน	Rhône (departement)
พ.ศ. 269	275 v.Chr.
พ.ศ. 332	212 v.Chr.
มนุษยนิยม	Humanisme
อุทยานแห่งชาติ	Nationaal park
กีตาร์เบส	Basgitaar
อัสเซนชัน	Ascension (eiland)
ของเหลวผลควบแน่นโบส–ไอน์สไตน์	Bose-Einsteincondensaat
อาร์ดวาร์ก	Aardvarken
สนามไฟฟ้า	Elektrisch veld
พ.ศ. 345	199 v.Chr.
เทวรูปซูสที่โอลิมเปีย	Beeld van Zeus te Olympia
ธรณีฟิสิกส์	Geofysica
สถาปัตยกรรมโรมาเนสก์	Romaanse architectuur
พ.ศ. 348	196 v.Chr.
พลังงานจลน์	Kinetische energie
พ.ศ. 357	187 v.Chr.
ท่าอากาศยานนานาชาติปารีส-ชาร์ล เดอ โกล	Aéroport de Paris-Charles de Gaulle
ธอริน โอเคนชิลด์	Thorin Eikenschild
พ.ศ. 346	198 v.Chr.
เมิร์ควู้ด	Demsterwold
พ.ศ. 352	192 v.Chr.
วงศ์กุหลาบ	Rozenfamilie
สม็อก (ตัวละคร)	Smaug
รูปสี่เหลี่ยมคางหมู	Trapezium
ธนูและลูกธนู	Boog (wapen)
พ.ศ. 351	193 v.Chr.
พ.ศ. 350	194 v.Chr.
สฟักซ์	Sfax (stad)
พ.ศ. 339	205 v.Chr.
การเดินทัพทางไกล	Lange Mars
เครื่องพิมพ์ดีด	Schrijfmachine
พ.ศ. 389	155 v.Chr.
พ.ศ. 368	176 v.Chr.
ปาทริค วิเอรา	Patrick Vieira
พ.ศ. 363	181 v.Chr.
เต่าบก	Landschildpadden
การประชุมใหญ่แห่งเวียนนา	Congres van Wenen
ราชอาณาจักรแฟรงก์ตะวันตก	West-Francië
แอดการ์ เดอกา	Edgar Degas
ซูชิ	Sushi
ไมโครโฟน	Microfoon
ดินแดนโพ้นทะเลของสหราชอาณาจักร	Britse overzeese gebieden
เอฟ/เอ-18 ฮอร์เน็ท	F/A-18 Hornet
บียอร์สเตียร์เน มาร์ตินุส บียอร์สัน	Bjørnstjerne Bjørnson
จักรพรรดิคอนสแตนเชียสที่ 2	Constantius II
รัฐโซโนรา	Sonora (staat)
นกแซงแซวหางปลา	Koningsdrongo
แคสเคดดิงสไตล์ชีตส์	Cascading Style Sheets
ฝิ่น	Opium
รัฐกวานาคัวโต	Guanajuato (staat)
โอไซริส	Osiris (mythologie)
รัฐบาฮากาลิฟอร์เนียซูร์	Baja California Sur
แคลัม เชมเบอส์	Calum Chambers
รางวัลพูลิตเซอร์	Pulitzerprijs
พ.ศ. 377	167 v.Chr.
พ.ศ. 378	166 v.Chr.
ศึกมายากลหยุดโลก	The Prestige
ปลาตะโกก	Cyclocheilichthys enoplos
พ.ศ. 370	174 v.Chr.
พ.ศ. 379	165 v.Chr.
ธงชาติเนเธอร์แลนด์	Vlag van Nederland
นิวเคลียสดาราจักรกัมมันต์	Actief sterrenstelsel
พ.ศ. 336	208 v.Chr.
อีวาน บูนิน	Ivan Boenin
ตลาดเสรี	Vrije markt
โครงการอะพอลโล	Apolloprogramma
ทางหลวงพิเศษ	Autosnelweg
ชาลส์ แบบบิจ	Charles Babbage
พ.ศ. 384	160 v.Chr.
พ.ศ. 383	161 v.Chr.
พ.ศ. 380	164 v.Chr.
พ.ศ. 362	182 v.Chr.
พ.ศ. 371	173 v.Chr.
พ.ศ. 372	172 v.Chr.
จักรพรรดิธีโอโดเซียสที่ 1	Theodosius I
พ.ศ. 366	178 v.Chr.
พ.ศ. 369	175 v.Chr.
คืนชีพกองทัพโจรสลัดสยองโลก	Pirates of the Caribbean: The Curse of the Black Pearl
แวมไพร์	Vampier
ภาษาฮินดีฟิจิ	Fijisch Hindoestani
อะมีบา	Amoeba (geslacht)
จักรพรรดิคอนสแตนตินที่ 2	Constantijn II van Rome
ความเข้าใจ	Verstehen
เซ็นได	Sendai
แฮร์รี่ พอตเตอร์กับถ้วยอัคนี	Harry Potter en de Vuurbeker (boek)
แฮร์รี่ พอตเตอร์กับเครื่องรางยมทูต	Harry Potter en de Relieken van de Dood (boek)
จักรพรรดิคลอเดียส กอธิคัส	Claudius Gothicus
แม็กซีเมียน	Maximianus
.nc	.nc
.re	.re
.vi	.vi
.sh	.sh
ภควัทคีตา	Bhagavad Gita
ศิลปะโรมาเนสก์	Romaanse kunst
ราอุล กัสโตร	Raúl Castro
จักรพรรดิเฟลเวียส วาเลริอัส เซเวรัส	Severus II
พิพิธภัณฑ์อิสราเอล	Israel Museum
ศิลปะกอทิก	Gotiek
รอเบิร์ต ฮุก	Robert Hooke
เทือกเขา	Bergketen
งบดุล	Balans (boekhouden)
ธงชาติออสเตรีย	Vlag van Oostenrijk
จักรพรรดิไดอะดูเมเนียน	Diadumenianus
แม่น้ำลีนา	Lena (rivier)
แหวน	Ring (sieraad)
ยาช	Iași
คาซัดดูม	Moria (Midden-aarde)
ระเบียบวิธีทางวิทยาศาสตร์	Wetenschappelijke methode
อักษรทิเบต	Tibetaans schrift
มณฑลหูเป่ย์	Hubei
ไอ. เอ็ม. เพ	Ieoh Ming Pei
วอลนัต	Walnoot (boom)
เกาะเบเกอร์	Baker (eiland)
แฮร์รี่ พอตเตอร์กับเจ้าชายเลือดผสม	Harry Potter en de Halfbloed Prins (boek)
ซลาตัน อีบราฮีมอวิช	Zlatan Ibrahimović
จีเอสเอ็ม	GSM (communicatie)
รัฐชิน	Chin (staat)
พ.ศ. 390	154 v.Chr.
